2,1,1,1,19-01-2023,5
3,1,1,2,12-11-2019,5
4,1,1,3,18-04-2020,19
5,1,1,4,27-07-2019,17
6,1,1,5,28-03-2019,17
7,1,1,6,27-04-2019,5
8,1,1,7,15-09-2020,19
9,1,1,8,26-05-2022,17
10,1,1,9,30-06-2020,17
11,1,1,10,25-05-2021,7
12,1,1,11,14-03-2021,2
13,1,1,12,13-11-2019,1
14,1,1,13,11-06-2020,8
15,1,1,14,26-07-2021,18
16,1,1,15,20-10-2021,16
17,1,1,16,26-07-2022,4
18,1,1,17,31-05-2020,4
19,1,1,18,26-11-2020,18
20,1,1,19,24-11-2021,12
21,1,1,20,16-07-2022,3
22,1,2,1,09-11-2020,11
23,1,2,2,17-10-2023,8
24,1,2,3,17-08-2022,17
25,1,2,4,17-06-2021,10
26,1,2,5,12-05-2023,12
27,1,2,6,24-11-2020,8
28,1,2,7,18-01-2023,20
29,1,2,8,10-12-2023,18
30,1,2,9,07-02-2019,18
31,1,2,10,13-04-2019,18
32,1,2,11,04-09-2019,17
33,1,2,12,19-09-2019,20
34,1,2,13,23-03-2021,15
35,1,2,14,01-07-2022,7
36,1,2,15,13-12-2023,8
37,1,2,16,14-04-2020,3
38,1,2,17,22-04-2023,16
39,1,2,18,06-03-2022,8
40,1,2,19,13-04-2021,10
41,1,2,20,11-12-2023,19
42,1,3,1,28-01-2020,12
43,1,3,2,05-04-2021,11
44,1,3,3,10-02-2023,18
45,1,3,4,29-10-2023,13
46,1,3,5,02-08-2019,16
47,1,3,6,25-08-2022,8
48,1,3,7,21-10-2023,2
49,1,3,8,01-11-2023,10
50,1,3,9,02-03-2019,6
51,1,3,10,22-04-2020,14
52,1,3,11,13-07-2020,7
53,1,3,12,01-08-2023,0
54,1,3,13,21-11-2019,11
55,1,3,14,15-11-2019,5
56,1,3,15,29-01-2023,13
57,1,3,16,30-01-2020,2
58,1,3,17,16-04-2021,10
59,1,3,18,28-02-2019,0
60,1,3,19,29-11-2020,0
61,1,3,20,20-03-2019,6
62,1,4,1,25-03-2020,7
63,1,4,2,10-01-2019,0
64,1,4,3,07-10-2021,20
65,1,4,4,29-03-2019,6
66,1,4,5,24-01-2019,12
67,1,4,6,08-08-2021,5
68,1,4,7,24-04-2020,6
69,1,4,8,20-02-2021,20
70,1,4,9,05-08-2021,8
71,1,4,10,16-09-2020,18
72,1,4,11,13-02-2020,7
73,1,4,12,20-04-2022,13
74,1,4,13,04-04-2021,2
75,1,4,14,28-09-2019,6
76,1,4,15,28-08-2020,18
77,1,4,16,06-11-2021,16
78,1,4,17,22-04-2020,16
79,1,4,18,04-04-2020,11
80,1,4,19,25-03-2022,3
81,1,4,20,29-03-2019,20
82,1,5,1,01-06-2022,6
